219.100.37.206,443
219.100.37.194,443
219.100.37.176,443
219.100.37.17,443
219.100.37.164,443
219.100.37.103,443
219.100.37.97,443
219.100.37.23,443
219.100.37.224,443
219.100.37.7,443
219.100.37.30,443
219.100.37.115,443
219.100.37.110,443
219.100.37.214,443
219.100.37.125,443
110.163.132.231,1672
60.96.126.111,1511
118.16.29.227,1998
218.144.126.87,1977
37.140.82.142,1201
219.100.37.92,443
3.170.115.117,80
18.154.253.28,80
185.4.165.40,80
217.31.83.190,21
192.185.38.79,21
72.167.43.194,21
46.4.84.94,465
