219.100.37.206,443,TCP
219.100.37.194,443,TCP
219.100.37.176,443,TCP
219.100.37.17,443,TCP
219.100.37.164,443,TCP
219.100.37.103,443,TCP
219.100.37.97,443,TCP
219.100.37.23,443,TCP
219.100.37.224,443,TCP
219.100.37.7,443,TCP
219.100.37.30,443,TCP
219.100.37.115,443,TCP
219.100.37.110,443,TCP
219.100.37.214,443,TCP
219.100.37.125,443,TCP
110.163.132.231,1672,TCP
60.96.126.111,1511,TCP
118.16.29.227,1998,TCP
218.144.126.87,1977,TCP
37.140.82.142,1201,TCP
219.100.37.92,443,TCP
3.170.115.117,80,TCP
18.154.253.28,80,TCP
185.4.165.40,80,TCP
217.31.83.190,21,TCP
192.185.38.79,21,TCP
72.167.43.194,21,TCP
46.4.84.94,465,TCP
